,角色,account,password
,朝日奈 葵,Asahina,123456
,江ノ島 盾子,Enoshima,123456
,不二咲 千尋,Fujisaki,123456
,腐川 冬子,Fukawa,123456
,葉隠 康比呂,Hagakure,123456
,"日向 創",Hinata,123456
,"戦刃 むくろ",Ikusaba,123456
,石丸 清多夏,Ishimaru,123456
,霧切 響子,Kirigiri,123456
,狛枝 凪斗,Komaeda,123456
,桑田 怜恩,Kuwata,123456
,舞園 さやか,Maizono,123456
,黑白熊,Monokuma,123456
,黑白美,Monomi,123456
,苗木誠,Naegi,123456
,七海 千秋,Nanami,123456
,大神 さくら,Ogami,123456
,大和田 紋土,Owada,123456
,セレスティア ルーデンベルク,Seresutia,123456
,十神 白夜,Togami,123456
,山田 一二三,Yamada,123456
